,,Anguilla,United Kingdom,2020-04-01 21:58:34,18.2206,-63.0686,2,0,0,2,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-01 21:58:34,32.3078,-64.7505,32,0,10,22,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-01 21:58:34,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-01 21:58:34,19.3133,-81.2546,22,1,0,21,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-01 21:58:34,49.3723,-2.3644,172,3,0,169,"Channel Islands, United Kingdom"
,,Gibraltar,United Kingdom,2020-04-01 21:58:34,36.1408,-5.3536,81,0,34,47,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,2020-04-01 21:58:34,54.2361,-4.5481,68,1,0,67,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,2020-04-01 21:58:34,16.742498,-62.187366000000004,5,0,0,5,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,2020-04-01 21:58:34,21.69400000000001,-71.7979,6,0,0,6,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,2020-04-01 21:58:34,55.3781,-3.4360000000000004,29474,2352,135,26987,United Kingdom
,,Anguilla,United Kingdom,4/2/20 23:25,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,4/2/20 23:25,32.3078,-64.7505,35,0,11,24,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,4/2/20 23:25,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,4/2/20 23:25,19.3133,-81.2546,28,1,0,27,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,4/2/20 23:25,49.3723,-2.3644,193,3,0,190,"Channel Islands, United Kingdom"
,,Gibraltar,United Kingdom,4/2/20 23:25,36.1408,-5.3536,88,0,46,42,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,4/2/20 23:25,54.2361,-4.5481,95,1,0,94,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,4/2/20 23:25,16.742498,-62.187366,5,0,0,5,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,4/2/20 23:25,21.694,-71.7979,5,0,0,5,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,4/2/20 23:25,55.3781,-3.436,33718,2921,135,30662,United Kingdom
,,Anguilla,United Kingdom,2020-04-03 22:46:20,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-03 22:46:20,32.3078,-64.7505,35,0,14,21,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-03 22:46:20,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-03 22:46:20,19.3133,-81.2546,28,1,0,27,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-03 22:46:20,49.3723,-2.3644,232,4,13,215,"Channel Islands, United Kingdom"
,,Gibraltar,United Kingdom,2020-04-03 22:46:20,36.1408,-5.3536,95,0,46,49,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,2020-04-03 22:46:20,54.2361,-4.5481,114,1,0,113,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,2020-04-03 22:46:20,16.742498,-62.187366000000004,6,0,0,6,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,2020-04-03 22:46:20,21.69400000000001,-71.7979,5,0,0,5,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,2020-04-03 22:46:20,55.3781,-3.4360000000000004,38168,3605,135,34428,United Kingdom
,,Anguilla,United Kingdom,4/4/20 23:34,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,4/4/20 23:34,32.3078,-64.7505,35,0,14,21,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,4/4/20 23:34,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,4/4/20 23:34,19.3133,-81.2546,35,1,1,33,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,4/4/20 23:34,49.3723,-2.3644,262,5,13,244,"Channel Islands, United Kingdom"
,,Falkland Islands (Islas Malvinas),United Kingdom,4/4/20 23:34,-51.7963,-59.5236,1,0,0,1,"Falkland Islands (Islas Malvinas), United Kingdom"
,,Gibraltar,United Kingdom,4/4/20 23:34,36.1408,-5.3536,98,0,52,46,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,4/4/20 23:34,54.2361,-4.5481,126,1,0,125,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,4/4/20 23:34,16.742498,-62.187366,6,0,0,6,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,4/4/20 23:34,21.694,-71.7979,5,0,0,5,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,4/4/20 23:34,55.3781,-3.436,41903,4313,135,37455,United Kingdom
,,Anguilla,United Kingdom,2020-04-05 23:06:26,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-05 23:06:26,32.3078,-64.7505,37,0,14,23,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-05 23:06:26,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-05 23:06:26,19.3133,-81.2546,35,1,1,33,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-05 23:06:26,49.3723,-2.3644,309,6,27,276,"Channel Islands, United Kingdom"
,,Falkland Islands (Islas Malvinas),United Kingdom,2020-04-05 23:06:26,-51.7963,-59.5236,2,0,0,2,"Falkland Islands (Islas Malvinas), United Kingdom"
,,Gibraltar,United Kingdom,2020-04-05 23:06:26,36.1408,-5.3536,103,0,52,51,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,2020-04-05 23:06:26,54.2361,-4.5481,127,1,0,126,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,2020-04-05 23:06:26,16.742498,-62.187366000000004,6,0,0,6,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,2020-04-05 23:06:26,21.69400000000001,-71.7979,5,1,0,4,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,2020-04-05 23:06:26,55.3781,-3.4360000000000004,47806,4934,135,42737,United Kingdom
,,Anguilla,United Kingdom,4/6/20 23:21,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,4/6/20 23:21,32.3078,-64.7505,39,2,17,20,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,4/6/20 23:21,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,4/6/20 23:21,19.3133,-81.2546,39,1,1,37,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,4/6/20 23:21,49.3723,-2.3644,323,7,27,289,"Channel Islands, United Kingdom"
,,Falkland Islands (Islas Malvinas),United Kingdom,4/6/20 23:21,-51.7963,-59.5236,2,0,0,2,"Falkland Islands (Islas Malvinas), United Kingdom"
,,Gibraltar,United Kingdom,4/6/20 23:21,36.1408,-5.3536,109,0,52,57,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,4/6/20 23:21,54.2361,-4.5481,139,1,55,83,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,4/6/20 23:21,16.742498,-62.187366,6,0,0,6,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,4/6/20 23:21,21.694,-71.7979,8,1,0,7,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,4/6/20 23:21,55.3781,-3.436,51608,5373,135,46100,United Kingdom
,,Anguilla,United Kingdom,2020-04-07 23:04:29,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-07 23:04:29,32.3078,-64.7505,39,2,17,20,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-07 23:04:29,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-07 23:04:29,19.3133,-81.2546,45,1,6,38,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-07 23:04:29,49.3723,-2.3644,335,7,34,294,"Channel Islands, United Kingdom"
,,Falkland Islands (Malvinas),United Kingdom,2020-04-07 23:04:29,-51.7963,-59.5236,2,0,0,2,"Falkland Islands (Malvinas), United Kingdom"
,,Gibraltar,United Kingdom,2020-04-07 23:04:29,36.1408,-5.3536,113,0,60,53,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,2020-04-07 23:04:29,54.2361,-4.5481,150,1,73,76,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,2020-04-07 23:04:29,16.742498,-62.187366000000004,9,0,0,9,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,2020-04-07 23:04:29,21.69400000000001,-71.7979,8,1,0,7,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,2020-04-07 23:04:29,55.3781,-3.4360000000000004,55242,6159,135,48948,United Kingdom
,,Anguilla,United Kingdom,2020-04-08 22:51:39,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-08 22:51:39,32.3078,-64.7505,39,3,23,13,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-08 22:51:39,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
,,Cayman Islands,United Kingdom,2020-04-08 22:51:39,19.3133,-81.2546,45,1,6,38,"Cayman Islands, United Kingdom"
,,Channel Islands,United Kingdom,2020-04-08 22:51:39,49.3723,-2.3644,351,8,38,305,"Channel Islands, United Kingdom"
,,Falkland Islands (Malvinas),United Kingdom,2020-04-08 22:51:39,-51.7963,-59.5236,5,0,1,4,"Falkland Islands (Malvinas), United Kingdom"
,,Gibraltar,United Kingdom,2020-04-08 22:51:39,36.1408,-5.3536,120,0,60,60,"Gibraltar, United Kingdom"
,,Isle of Man,United Kingdom,2020-04-08 22:51:39,54.2361,-4.5481,158,1,82,75,"Isle of Man, United Kingdom"
,,Montserrat,United Kingdom,2020-04-08 22:51:39,16.742498,-62.187366000000004,9,0,0,9,"Montserrat, United Kingdom"
,,Turks and Caicos Islands,United Kingdom,2020-04-08 22:51:39,21.69400000000001,-71.7979,8,1,0,7,"Turks and Caicos Islands, United Kingdom"
,,,United Kingdom,2020-04-08 22:51:39,55.3781,-3.4360000000000004,60733,7097,135,53501,United Kingdom
,,Anguilla,United Kingdom,2020-04-09 23:02:19,18.2206,-63.0686,3,0,0,3,"Anguilla, United Kingdom"
,,Bermuda,United Kingdom,2020-04-09 23:02:19,32.3078,-64.7505,48,4,25,19,"Bermuda, United Kingdom"
,,British Virgin Islands,United Kingdom,2020-04-09 23:02:19,18.4207,-64.64,3,0,0,3,"British Virgin Islands, United Kingdom"
